"id","traceId","traceName","type","name","startTime","endTime","completionStartTime","environment","version","userId","sessionId","level","statusMessage","promptName","promptId","promptVersion","modelId","providedModelName","modelParameters","usageDetails","costDetails","totalCost","input","output","metadata","latencyMs","timeToFirstTokenMs","tags","release","parentObservationId","comments","e2e_success","routing_accuracy"
"4065ba44a8dd0588","ff66a2b66a13c75f4d3ea52953c637e1","","TOOL","get_ticket_status","2026-09-12 04:10:14.313000","2026-09-12 04:10:14.668000","","default","","","eval_run_20260912T040857","DEFAULT","","","","","","","{}","{}","{}","0","","","{""scope.name"":""fastmcp"",""resourceAttributes.service.name"":""unknown_service"",""resourceAttributes.service.instance.id"":""9b4df61c-bb72-47f0-95a0-68f3008227ca"",""resourceAttributes.telemetry.sdk.version"":""1.44.0"",""resourceAttributes.telemetry.sdk.name"":""opentelemetry"",""resourceAttributes.telemetry.sdk.language"":""python"",""attributes.langfuse.trace.tags"":""[\""nubbix-helpdesk\""]"",""attributes.session.id"":""eval_run_20260912T040857"",""attributes.gen_ai.tool.name"":""get_ticket_status"",""attributes.fastmcp.component.key"":""get_ticket_status"",""attributes.mcp.method.name"":""tools/call""}","355","","[""nubbix-helpdesk""]","","0ebb04e09265fb65","[]","[0]","[1]"
"0ebb04e09265fb65","ff66a2b66a13c75f4d3ea52953c637e1","","TOOL","mcp_get_ticket_status","2026-09-12 04:10:12.728000","2026-09-12 04:10:14.843000","","default","","","eval_run_20260912T040857","DEFAULT","","","","","","","{}","{}","{}","0","{""args"": [""TICK-F4E3D2""], ""kwargs"": {}}","Error: No se encontró ningún ticket con el ID TICK-F4E3D2.","{""scope.attributes.public_key"":""pk-lf-cd0c0bee-4ee4-4ba8-8df4-ffe753793515"",""scope.version"":""4.15.2"",""scope.name"":""langfuse-sdk"",""resourceAttributes.service.name"":""unknown_service"",""resourceAttributes.service.instance.id"":""9b4df61c-bb72-47f0-95a0-68f3008227ca"",""resourceAttributes.telemetry.sdk.version"":""1.44.0"",""resourceAttributes.telemetry.sdk.name"":""opentelemetry"",""resourceAttributes.telemetry.sdk.language"":""python""}","2115","","[""nubbix-helpdesk""]","","f46e1374b272f0da","[]","[0]","[1]"
"f46e1374b272f0da","ff66a2b66a13c75f4d3ea52953c637e1","","TOOL","ticket_node","2026-09-12 04:10:12.728000","2026-09-12 04:10:14.843000","","default","","","eval_run_20260912T040857","DEFAULT","","","","","","","{}","{}","{}","0","{""args"": [{""user_query"": ""Consultar estado del ticket TICK-F4E3D2"", ""target_domain"": ""Ticket"", ""response"": """", ""steps_count"": 1, ""max_steps"": 5, ""action_type"": ""status"", ""require_human_approval"": false, ""approved"": false}], ""kwargs"": {}}","{""user_query"": ""Consultar estado del ticket TICK-F4E3D2"", ""target_domain"": ""Ticket"", ""response"": ""Error: No se encontró ningún ticket con el ID TICK-F4E3D2."", ""steps_count"": 1, ""max_steps"": 5, ""action_type"": ""status"", ""require_human_approval"": false, ""approved"": false}","{""scope.attributes.public_key"":""pk-lf-cd0c0bee-4ee4-4ba8-8df4-ffe753793515"",""scope.version"":""4.15.2"",""scope.name"":""langfuse-sdk"",""resourceAttributes.service.name"":""unknown_service"",""resourceAttributes.service.instance.id"":""9b4df61c-bb72-47f0-95a0-68f3008227ca"",""resourceAttributes.telemetry.sdk.version"":""1.44.0"",""resourceAttributes.telemetry.sdk.name"":""opentelemetry"",""resourceAttributes.telemetry.sdk.language"":""python""}","2115","","[""nubbix-helpdesk""]","","80ee4d83a5cf5ff0","[]","[0]","[1]"
"76e76a1b6824e9d0","ff66a2b66a13c75f4d3ea52953c637e1","","CHAIN","router_node","2026-09-12 04:10:12.175000","2026-09-12 04:10:12.727000","","default","","","eval_run_20260912T040857","DEFAULT","","","","","","","{}","{}","{}","0","{""args"": [{""user_query"": ""Consultar estado del ticket TICK-F4E3D2"", ""target_domain"": """", ""response"": """", ""steps_count"": 0, ""max_steps"": 5, ""action_type"": null, ""require_human_approval"": false, ""approved"": false}], ""kwargs"": {}}","{""user_query"": ""Consultar estado del ticket TICK-F4E3D2"", ""target_domain"": ""Ticket"", ""response"": """", ""steps_count"": 1, ""max_steps"": 5, ""action_type"": ""status"", ""require_human_approval"": false, ""approved"": false}","{""steps_count"":""1"",""target_domain"":""Ticket"",""scope.attributes.public_key"":""pk-lf-cd0c0bee-4ee4-4ba8-8df4-ffe753793515"",""scope.version"":""4.15.2"",""scope.name"":""langfuse-sdk"",""resourceAttributes.service.name"":""unknown_service"",""resourceAttributes.service.instance.id"":""9b4df61c-bb72-47f0-95a0-68f3008227ca"",""resourceAttributes.telemetry.sdk.version"":""1.44.0"",""resourceAttributes.telemetry.sdk.name"":""opentelemetry"",""resourceAttributes.telemetry.sdk.language"":""python""}","552","","[""nubbix-helpdesk""]","","80ee4d83a5cf5ff0","[]","[0]","[1]"
"64583c3bd063d2d1","ff66a2b66a13c75f4d3ea52953c637e1","","GENERATION","OpenAI-generation","2026-09-12 04:10:12.175000","2026-09-12 04:10:12.726000","","default","","","eval_run_20260912T040857","DEFAULT","","","","","clyrjpbe20000t0mzcbwc42rg","gpt-4o-mini-2024-07-18","{""temperature"":0,""max_tokens"":""Infinity"",""top_p"":1,""frequency_penalty"":0,""presence_penalty"":0,""service_tier"":""default""}","{""input"":""256"",""output"":""1"",""total"":""257"",""input_audio_tokens"":""0"",""input_cached_tokens"":""0"",""output_accepted_prediction_tokens"":""0"",""output_audio_tokens"":""0"",""output_reasoning_tokens"":""0"",""output_rejected_prediction_tokens"":""0""}","{""input"":0.0000384,""output"":6e-7,""input_cached_tokens"":0,""total"":0.000039}","0.000039","[{""role"": ""user"", ""content"": ""Eres el Orquestador de la Mesa de Ayuda de Nubbix.\n        Clasifica la consulta del empleado en UNA sola intención: HR, IT, Finance o Ticket.\n\n        REGLA DE PRIORIDAD (aplicarla SIEMPRE primero): si la consulta pide explícitamente\n        crear/abrir/generar un ticket, o consultar el estado de un ticket, la intención es\n        \""Ticket\"" — sin importar de qué tema hable el ticket (IT, HR o Finance).\n\n        Ejemplos:\n        - \""Mi laptop no enciende\"" -> IT (no pide ticket, es soporte directo)\n        - \""Quiero crear un ticket para cambiar mi contraseña\"" -> Ticket (pide crear ticket, aunque el tema sea IT)\n        - \""¿Cuál es el estado del ticket TICK-8A9B2?\"" -> Ticket\n        - \""¿Cuántos días de vacaciones tengo?\"" -> HR\n        - \""¿Cuál es el tope de reembolso de viáticos?\"" -> Finance\n\n        Consulta: \""Consultar estado del ticket TICK-F4E3D2\""\n        Responde ÚNICAMENTE con una palabra: HR, IT, Finance o Ticket.\n        ""}]","{""role"": ""assistant"", ""content"": ""Ticket""}","{""scope.attributes.public_key"":""pk-lf-cd0c0bee-4ee4-4ba8-8df4-ffe753793515"",""scope.version"":""4.15.2"",""scope.name"":""langfuse-sdk"",""resourceAttributes.service.name"":""unknown_service"",""resourceAttributes.service.instance.id"":""9b4df61c-bb72-47f0-95a0-68f3008227ca"",""resourceAttributes.telemetry.sdk.version"":""1.44.0"",""resourceAttributes.telemetry.sdk.name"":""opentelemetry"",""resourceAttributes.telemetry.sdk.language"":""python""}","551","","[""nubbix-helpdesk""]","","76e76a1b6824e9d0","[]","[0]","[1]"
"80ee4d83a5cf5ff0","ff66a2b66a13c75f4d3ea52953c637e1","orchestrator_run","AGENT","orchestrator_run","2026-09-12 04:10:12.172000","2026-09-12 04:10:14.844000","","default","","","eval_run_20260912T040857","DEFAULT","","","","","","","{}","{}","{}","0","{""args"": [""Consultar estado del ticket TICK-F4E3D2""], ""kwargs"": {""session_id"": ""eval_run_20260912T040857"", ""thread_id"": ""2734967e-bf3b-4ff5-ad14-565f92489aac""}}","{""user_query"": ""Consultar estado del ticket TICK-F4E3D2"", ""target_domain"": ""Ticket"", ""response"": ""Error: No se encontró ningún ticket con el ID TICK-F4E3D2."", ""steps_count"": 1, ""max_steps"": 5, ""action_type"": ""status"", ""require_human_approval"": false, ""approved"": false, ""thread_id"": ""2734967e-bf3b-4ff5-ad14-565f92489aac"", ""trace_id"": ""ff66a2b66a13c75f4d3ea52953c637e1"", ""awaiting_confirmation"": false}","{""scope.attributes.public_key"":""pk-lf-cd0c0bee-4ee4-4ba8-8df4-ffe753793515"",""scope.version"":""4.15.2"",""scope.name"":""langfuse-sdk"",""resourceAttributes.service.name"":""unknown_service"",""resourceAttributes.service.instance.id"":""9b4df61c-bb72-47f0-95a0-68f3008227ca"",""resourceAttributes.telemetry.sdk.version"":""1.44.0"",""resourceAttributes.telemetry.sdk.name"":""opentelemetry"",""resourceAttributes.telemetry.sdk.language"":""python""}","2672","","[""nubbix-helpdesk""]","","","[]","[0]","[1]"
"b59ffc8c0735ea47","674be12c57cfbc323bd0b7077c7f1efc","","TOOL","create_ticket","2026-09-12 04:10:11.657000","2026-09-12 04:10:11.994000","","default","","","eval_run_20260912T040857","DEFAULT","","","","","","","{}","{}","{}","0","","","{""scope.name"":""fastmcp"",""resourceAttributes.service.name"":""unknown_service"",""resourceAttributes.service.instance.id"":""9b4df61c-bb72-47f0-95a0-68f3008227ca"",""resourceAttributes.telemetry.sdk.version"":""1.44.0"",""resourceAttributes.telemetry.sdk.name"":""opentelemetry"",""resourceAttributes.telemetry.sdk.language"":""python"",""attributes.langfuse.trace.tags"":""[\""nubbix-helpdesk\"",\""resume\""]"",""attributes.session.id"":""eval_run_20260912T040857"",""attributes.gen_ai.tool.name"":""create_ticket"",""attributes.fastmcp.component.key"":""create_ticket"",""attributes.mcp.method.name"":""tools/call""}","337","","[""nubbix-helpdesk"",""resume""]","","a164ad31642a1d7e","[]","[1]","[1]"
"a164ad31642a1d7e","674be12c57cfbc323bd0b7077c7f1efc","","TOOL","mcp_create_ticket","2026-09-12 04:10:10.146000","2026-09-12 04:10:12.171000","","default","","","eval_run_20260912T040857","DEFAULT","","","","","","","{}","{}","{}","0","{""args"": [], ""kwargs"": {""employee_email"": ""empleado@nubbix.com"", ""category"": ""IT"", ""description"": ""Por favor crear ticket para configurar mi e-mail corporativo.""}}","Ticket registrado con éxito. ID: TICK-208F17 | Estado: OPEN","{""scope.attributes.public_key"":""pk-lf-cd0c0bee-4ee4-4ba8-8df4-ffe753793515"",""scope.version"":""4.15.2"",""scope.name"":""langfuse-sdk"",""resourceAttributes.service.name"":""unknown_service"",""resourceAttributes.service.instance.id"":""9b4df61c-bb72-47f0-95a0-68f3008227ca"",""resourceAttributes.telemetry.sdk.version"":""1.44.0"",""resourceAttributes.telemetry.sdk.name"":""opentelemetry"",""resourceAttributes.telemetry.sdk.language"":""python""}","2025","","[""nubbix-helpdesk"",""resume""]","","3bb5209b6b9a9d06","[]","[1]","[1]"
"3bb5209b6b9a9d06","674be12c57cfbc323bd0b7077c7f1efc","","TOOL","ticket_node","2026-09-12 04:10:10.145000","2026-09-12 04:10:12.171000","","default","","","eval_run_20260912T040857","DEFAULT","","","","","","","{}","{}","{}","0","{""args"": [{""user_query"": ""Por favor crear ticket para configurar mi e-mail corporativo."", ""target_domain"": ""Ticket"", ""response"": """", ""steps_count"": 1, ""max_steps"": 5, ""action_type"": ""create"", ""require_human_approval"": true, ""approved"": false}], ""kwargs"": {}}","{""user_query"": ""Por favor crear ticket para configurar mi e-mail corporativo."", ""target_domain"": ""Ticket"", ""response"": ""Ticket registrado con éxito. ID: TICK-208F17 | Estado: OPEN"", ""steps_count"": 1, ""max_steps"": 5, ""action_type"": ""create"", ""require_human_approval"": true, ""approved"": true}","{""scope.attributes.public_key"":""pk-lf-cd0c0bee-4ee4-4ba8-8df4-ffe753793515"",""scope.version"":""4.15.2"",""scope.name"":""langfuse-sdk"",""resourceAttributes.service.name"":""unknown_service"",""resourceAttributes.service.instance.id"":""9b4df61c-bb72-47f0-95a0-68f3008227ca"",""resourceAttributes.telemetry.sdk.version"":""1.44.0"",""resourceAttributes.telemetry.sdk.name"":""opentelemetry"",""resourceAttributes.telemetry.sdk.language"":""python""}","2026","","[""nubbix-helpdesk"",""resume""]","","46c83777c3c7ddae","[]","[1]","[1]"
"46c83777c3c7ddae","674be12c57cfbc323bd0b7077c7f1efc","orchestrator_resume","AGENT","orchestrator_resume","2026-09-12 04:10:10.144000","2026-09-12 04:10:12.172000","","default","","","eval_run_20260912T040857","DEFAULT","","","","","","","{}","{}","{}","0","{""args"": [], ""kwargs"": {""thread_id"": ""e174ede5-4a24-41f9-9c20-592acf57728c"", ""approved"": true, ""session_id"": ""eval_run_20260912T040857""}}","{""user_query"": ""Por favor crear ticket para configurar mi e-mail corporativo."", ""target_domain"": ""Ticket"", ""response"": ""Ticket registrado con éxito. ID: TICK-208F17 | Estado: OPEN"", ""steps_count"": 1, ""max_steps"": 5, ""action_type"": ""create"", ""require_human_approval"": true, ""approved"": true, ""thread_id"": ""e174ede5-4a24-41f9-9c20-592acf57728c"", ""trace_id"": ""674be12c57cfbc323bd0b7077c7f1efc"", ""awaiting_confirmation"": false}","{""scope.attributes.public_key"":""pk-lf-cd0c0bee-4ee4-4ba8-8df4-ffe753793515"",""scope.version"":""4.15.2"",""scope.name"":""langfuse-sdk"",""resourceAttributes.service.name"":""unknown_service"",""resourceAttributes.service.instance.id"":""9b4df61c-bb72-47f0-95a0-68f3008227ca"",""resourceAttributes.telemetry.sdk.version"":""1.44.0"",""resourceAttributes.telemetry.sdk.name"":""opentelemetry"",""resourceAttributes.telemetry.sdk.language"":""python""}","2028","","[""nubbix-helpdesk"",""resume""]","","","[]","[1]","[1]"
